ID,LX,LY,Hmax,Gele,lowBranch,crownV,H,DBH,Volume,Biomass,species_name,species_code
229081,399599.63,6786021.75,17.42332075,136.4266792,2.544726134,129.1861931,18.2627873,19.89921429,0.243125422,138.9206927,Norway Spruce,2
229082,399599.0,6786010.75,15.45743183,136.2625682,2.050861382,69.0998336,16.48504048,16.62134087,0.176816552,96.65237063,Scots pine,1
229109,399600.08,6786046.75,17.2466469,136.2733531,2.511349696,217.7458489,18.39995675,23.0404746,0.37331356,190.8537751,Scots pine,1
229110,399599.9,6786002.15,14.7478065,135.7121935,2.341480966,52.99238881,15.6929388,14.8590998,0.146126566,87.85671981,Deciduous tree (Birch),3
229135,399600.97,6786059.12,6.369042066,136.3409579,2.180478722,12.48601379,7.095034921,7.573244643,0.017602771,12.97319699,Norway Spruce,2
229136,399600.72,6786007.45,17.08321145,136.2167886,2.688366913,203.8712457,17.6149213,19.44642083,0.26807401,133.7184029,Scots pine,1
229162,399601.13,6786074.17,20.43632296,135.833677,2.592781392,386.9954809,21.16859193,24.23370324,0.506944059,287.6955916,Deciduous tree (Birch),3
229163,399600.94,6786040.02,14.57285016,136.4471498,3.274680264,43.30584678,15.34714197,16.82645635,0.176082728,95.12802044,Scots pine,1
229164,399601.04,6786017.33,15.57767441,136.5923256,3.739397201,146.5414953,16.6031619,17.00377381,0.194861853,109.8096674,Norway Spruce,2
229185,399601.7,6786013.96,15.93023767,136.5797623,4.594959537,63.55321531,16.7342328,16.78505589,0.178415668,103.254297,Norway Spruce,2
229202,399602.05,6786077.64,17.23330944,135.4266906,7.092403453,58.5982111,18.22834871,18.04915238,0.228811245,135.2411873,Deciduous tree (Birch),3
229203,399602.3,6786040.23,14.39206497,136.397935,5.495877408,36.82724549,15.29601486,15.69156171,0.150167753,83.05723359,Scots pine,1
229204,399602.22,6786024.72,16.23245772,136.6775423,2.606717301,309.2401525,17.01119497,23.81335675,0.370294327,186.1919105,Scots pine,1
229253,399602.89,6786002.33,14.6771957,136.0528043,4.394668141,27.27389488,15.57369286,14.29003333,0.12744828,75.32335739,Deciduous tree (Birch),3
229284,399604.01,6786037.32,15.19833628,136.4616637,7.040639618,79.08101519,15.77763562,17.34806032,0.192421083,102.8918577,Scots pine,1
229301,399604.03,6786077.92,16.60881517,135.5111848,2.099692662,11.0410956,16.91783297,19.40318968,0.251519776,120.4428397,Deciduous tree (Birch),3
229302,399604.0,6786042.08,15.34556788,136.4344321,3.029076469,150.5245388,16.09705595,19.1132381,0.228864102,118.0642298,Scots pine,1
229303,399604.27,6786022.85,16.48042342,136.6995766,2.773671961,91.28465084,17.3202869,19.20887042,0.228093392,113.3281963,Scots pine,1
229304,399604.36,6786009.6,16.6232935,136.5667065,7.030589361,74.23911182,17.90747593,21.4043601,0.313577438,166.1957631,Scots pine,1
229323,399604.99,6786030.7,16.88049854,136.6395015,2.393787842,102.9484896,17.78573704,18.57070787,0.232612544,116.908084,Norway Spruce,2
229341,399605.73,6786070.04,21.35185567,136.5281443,3.91486521,244.42525,21.80318638,21.89955476,0.415561319,241.0358513,Scots pine,1
229342,399604.9,6786019.96,15.28544793,136.6445521,3.744918316,103.1223659,16.39418929,18.05031429,0.200231288,125.1963654,Deciduous tree (Birch),3
229364,399606.97,6786017.67,13.35209222,136.9079078,2.677275382,34.84114719,13.77882077,15.45426052,0.139806736,67.72321335,Deciduous tree (Birch),3
229380,399605.99,6786014.63,17.58555556,137.0744444,2.446170829,174.6708988,18.55372765,18.70930873,0.217214563,124.4521168,Deciduous tree (Birch),3
229399,399606.52,6786075.63,22.29701121,135.9429888,2.762778768,210.1281765,22.90833333,25.07485079,0.51762709,230.026969,Deciduous tree (Birch),3
229400,399606.73,6786073.16,21.67262512,136.2673749,3.387335421,150.0377442,22.58031389,22.43814325,0.435776586,209.3921632,Scots pine,1
229401,399606.68,6786000.54,18.18681313,136.2931869,2.499902672,231.5941674,19.0399013,21.45496052,0.336276208,153.8168786,Scots pine,1
229428,399606.89,6786037.97,16.19211727,136.4478827,3.3100004,172.5114921,17.2178123,19.0839744,0.251480706,128.1222057,Scots pine,1
229429,399607.42,6786033.19,18.61199572,136.3680043,2.455111978,210.5267029,19.43427937,20.6214369,0.362472674,156.5237899,Scots pine,1
229430,399607.57,6786005.85,17.17958499,136.810415,2.70496532,350.2888625,18.33738638,23.24870992,0.358980201,178.5952164,Scots pine,1
229448,399607.8,6786040.32,16.88353796,136.436462,3.579296969,55.65223113,17.95015238,17.8741369,0.232429094,116.502934,Scots pine,1
229449,399607.86,6786021.35,13.65244048,136.7975595,7.103937974,17.604284,13.51843108,13.65936706,0.112565067,69.12942638,Deciduous tree (Birch),3
229474,399607.94,6786043.02,19.50719958,136.4028004,7.009620862,94.86604546,20.35863571,20.56735079,0.314102947,181.0402911,Scots pine,1
229475,399608.33,6786027.77,17.54396592,136.5560341,2.175335201,464.5868354,18.4819119,26.29021177,0.397037744,213.9719126,Scots pine,1
229476,399608.0,6786012.42,16.46315608,137.0568439,2.209644684,40.80777775,17.53805053,17.82065357,0.196469486,90.10810324,Deciduous tree (Birch),3
229521,399609.41,6786003.02,18.64399198,136.776008,2.559933864,523.0668621,19.77706944,25.34437348,0.49350671,281.0226547,Scots pine,1
229546,399610.26,6786072.17,21.87890909,136.3210909,2.325102405,114.2890094,22.20050291,21.43528611,0.38377,210.0746006,Deciduous tree (Birch),3
229571,399609.71,6786034.71,14.53874637,136.3012536,2.517395815,115.819297,15.50133968,17.94155,0.169195949,85.77927585,Scots pine,1
229572,399610.63,6786017.89,16.73086076,137.1891392,2.421167378,100.601735,17.29903849,19.33703611,0.227053083,147.2623546,Deciduous tree (Birch),3
229600,399610.73,6786065.98,20.85587096,136.734129,2.399054482,263.8504374,21.71358783,22.86882698,0.435827016,220.9342195,Scots pine,1
229601,399611.3,6786038.62,15.20150193,136.1784981,2.414952714,16.76124667,15.87260952,14.61341746,0.137323153,81.03957061,Scots pine,1
229602,399610.69,6786017.32,16.22650888,137.2134911,3.010727244,64.15596302,16.57893628,17.54815556,0.180815723,102.9724302,Deciduous tree (Birch),3
229603,399610.26,6786000.02,17.53385153,135.1661485,3.932557301,13.42328695,18.49084444,16.03566369,0.199985502,96.43476873,Deciduous tree (Birch),3
229622,399611.17,6786012.11,15.93192954,137.2080705,2.682826066,121.1004107,16.89150582,19.85702659,0.238988513,113.0163696,Scots pine,1
229644,399612.0,6786077.58,22.65098981,134.7490102,3.323536901,172.9406569,23.36363399,25.0437373,0.550734804,277.0246496,Norway Spruce,2
229645,399611.9,6786074.47,21.79625849,135.7837415,2.54421744,113.7295249,22.3831246,21.330975,0.371796228,199.2728515,Deciduous tree (Birch),3
229662,399611.84,6786072.54,23.21640553,136.0835945,4.711314612,310.6385547,23.88818056,25.84548571,0.610135741,312.748444,Scots pine,1
229663,399611.9,6786038.47,15.96636735,136.0336327,5.402559037,85.90035754,17.08228968,20.09835754,0.27396348,150.0927148,Scots pine,1
229716,399613.61,6786031.06,17.00773306,136.1522669,2.318071449,92.40733738,18.11215079,18.36752738,0.24837758,110.9871489,Scots pine,1
229741,399613.98,6786023.15,18.0721538,136.9478462,3.070902201,347.7397178,18.8722591,24.88870159,0.474090589,221.5660829,Scots pine,1
229742,399613.1,6786000.05,17.79767526,136.4423247,2.585874357,21.65184953,18.18100752,15.60669206,0.154790552,65.64974572,Deciduous tree (Birch),3
229763,399613.31,6786018.59,16.48785859,137.1821414,4.212781152,51.48913877,17.39612778,18.89614563,0.254959228,123.6207243,Scots pine,1
229794,399614.63,6786013.27,16.22882384,137.0711762,3.410225203,98.64186511,17.19594511,20.71809504,0.282848966,146.5326161,Scots pine,1
229795,399614.88,6786008.24,15.29583359,136.7241664,3.417520513,76.6656076,15.72463615,16.68206071,0.163714709,107.8081105,Deciduous tree (Birch),3
229826,399615.64,6786074.14,17.15055967,134.9994403,5.343491608,21.33341911,18.12031374,16.81517639,0.198792918,123.0925231,Deciduous tree (Birch),3
229827,399614.97,6786065.54,20.08434775,136.4556523,2.162538312,245.3471677,20.86882487,22.21291865,0.404071083,209.5892562,Scots pine,1
229828,399615.34,6786062.35,19.57798254,136.2720175,2.991207251,240.6951386,20.38778254,22.55981111,0.422923792,190.5622323,Scots pine,1
229860,399615.78,6786076.82,17.59335055,134.6066495,3.943541436,137.2091206,18.45782474,19.57523466,0.224534451,128.1492331,Deciduous tree (Birch),3
229861,399615.02,6786029.09,18.7892603,136.3907397,2.112670583,182.7585737,19.37054444,19.68689286,0.296539999,131.5342848,Scots pine,1
229862,399616.1,6786005.21,18.79083664,136.5991634,2.524182939,161.4134464,19.44080079,17.95122421,0.262960286,137.0902947,Deciduous tree (Birch),3
229876,399616.07,6786018.34,17.88868161,136.9313184,2.433930166,177.4866766,18.62507222,19.95375952,0.308484146,145.9537895,Scots pine,1
229900,399616.44,6786040.27,16.87214762,135.6978524,2.208436725,136.6890827,17.78330529,16.96492619,0.19916869,150.0154482,Deciduous tree (Birch),3
229901,399616.8,6786000.93,20.19314684,136.6168532,2.542790903,320.4004184,21.43446415,22.84819722,0.361205615,187.7842111,Deciduous tree (Birch),3
229926,399616.35,6786071.29,22.5675,135.5225,2.975435369,243.5506052,23.27676376,23.10725119,0.487996201,264.3216685,Deciduous tree (Birch),3
229927,399617.5,6786038.55,16.61388535,135.6961146,8.125051861,4.362903326,16.60699964,17.07402817,0.209928242,107.0257362,Norway Spruce,2
229928,399617.7,6786026.04,17.73402985,136.6059701,3.606189383,124.3876169,18.6165804,19.93075423,0.283785484,141.8354323,Scots pine,1
229929,399616.83,6786014.34,14.65228734,136.7877127,6.047485903,13.00632319,15.01110265,13.61659405,0.120715254,69.55411928,Deciduous tree (Birch),3
229945,399617.54,6786054.79,15.61401507,136.3359849,2.301848904,130.1117497,16.60733651,18.40812897,0.229659291,113.5571345,Scots pine,1
229946,399617.02,6786036.44,18.85850391,135.9314961,2.79086043,620.3878394,19.77075476,24.3336455,0.478087846,289.2345737,Scots pine,1
229947,399617.88,6786009.79,13.6754878,136.4545122,5.039171578,29.88360021,13.80112235,14.54474385,0.131918497,79.8793497,Deciduous tree (Birch),3
